Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,2022/23 Salary,Salary
Goga Bitadze,C,23,TOT,26,0,10.1,1.5,2.7,0.549,0.2,0.7,0.294,1.3,2.1,0.63,0.585,0.5,1.2,0.467,1.3,1.4,2.8,0.9,0.4,0.5,0.5,1.5,3.7,5377520,5377520
Bismack Biyombo,C,30,PHO,48,9,13.6,1.7,2.9,0.576,0.0,0.0,,1.7,2.9,0.576,0.576,0.3,1.1,0.314,1.1,2.9,3.9,0.9,0.3,1.2,0.9,1.8,3.7,2905851,2905851
Buddy Boeheim,PG,23,DET,2,0,3.5,0.5,1.5,0.333,0.5,1.5,0.333,0.0,0.0,,0.5,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.5,508891,508891
Bogdan Bogdanovic,SG,30,ATL,42,5,28.7,5.2,11.8,0.442,2.8,6.8,0.407,2.5,5.0,0.49,0.56,1.2,1.5,0.806,0.4,2.9,3.3,3.0,0.9,0.3,1.2,1.7,14.4,18000000,18000000
Bojan Bogdanovic,PF,33,DET,59,59,32.1,7.3,14.9,0.488,2.5,6.0,0.411,4.8,9.0,0.539,0.57,4.5,5.1,0.884,0.6,3.2,3.8,2.6,0.6,0.1,2.3,1.9,21.6,19550000,19550000
Bol Bol,PF,23,ORL,63,32,22.0,3.9,6.8,0.568,0.5,1.5,0.305,3.4,5.3,0.643,0.602,1.1,1.5,0.745,1.0,4.9,6.0,0.9,0.4,1.3,1.6,1.3,9.3,2200000,2200000
Leandro Bolmaro,SG,22,UTA,14,0,4.9,0.2,1.4,0.15,0.0,0.3,0.0,0.2,1.1,0.188,0.15,0.0,0.0,,0.3,0.2,0.5,0.5,0.2,0.1,0.5,0.7,0.4,1709300,1709300
Devin Booker,SG,26,PHO,40,40,34.2,10.1,20.5,0.491,2.3,6.3,0.369,7.8,14.2,0.545,0.548,5.2,6.2,0.838,0.9,3.7,4.6,5.9,0.9,0.4,2.5,2.9,27.7,33833400,33833400
BJ Boston,SG,21,LAC,21,1,11.8,2.4,5.8,0.421,0.6,1.4,0.414,1.9,4.4,0.424,0.471,1.4,1.8,0.763,0.3,1.0,1.4,0.9,0.4,0.0,0.6,1.0,6.8,1563518,1563518
Chris Boucher,PF,30,TOR,62,0,20.1,3.5,7.0,0.495,0.9,2.6,0.333,2.6,4.4,0.589,0.556,1.8,2.4,0.741,2.1,3.5,5.7,0.4,0.7,0.8,0.5,1.9,9.5,12690000,12690000
James Bouknight,SG,22,CHO,26,0,13.6,1.5,4.7,0.328,0.6,2.5,0.25,0.9,2.2,0.414,0.393,0.6,0.8,0.682,0.2,1.8,2.0,1.1,0.5,0.2,0.7,1.1,4.3,4362240,4362240
Jamaree Bouyea,PG,23,TOT,5,0,14.2,1.2,2.8,0.429,0.4,1.2,0.333,0.8,1.6,0.5,0.5,0.2,0.4,0.5,0.2,1.0,1.2,0.8,0.8,0.4,0.8,1.2,3.0,116986,116986
Tony Bradley,C,25,CHI,12,0,2.8,0.5,1.0,0.5,0.3,0.4,0.6,0.3,0.6,0.429,0.625,0.3,0.3,1.0,0.1,0.8,0.9,0.1,0.1,0.1,0.1,0.2,1.6,2036318,2036318
Malaki Branham,SF,19,SAS,52,19,22.3,3.6,8.2,0.442,1.1,3.5,0.304,2.6,4.7,0.545,0.507,0.8,1.0,0.8,0.4,2.0,2.4,2.0,0.5,0.1,1.1,1.7,9.1,2925600,2925600
Christian Braun,SG,21,DEN,62,3,14.4,1.7,3.3,0.505,0.4,1.1,0.409,1.2,2.3,0.55,0.57,0.5,0.7,0.609,0.6,1.6,2.2,0.8,0.4,0.2,0.4,1.1,4.2,2808600,2808600
Mikal Bridges,SF,26,TOT,69,69,36.0,6.8,14.3,0.474,2.0,4.8,0.407,4.8,9.5,0.508,0.543,3.3,3.7,0.897,1.0,3.4,4.4,3.4,1.1,0.8,1.4,2.0,18.8,20100000,20100000
Oshae Brissett,SF,24,IND,52,1,16.1,1.8,4.5,0.404,0.8,2.4,0.336,1.0,2.1,0.482,0.494,1.3,1.8,0.705,0.9,2.5,3.4,0.6,0.5,0.2,0.4,1.3,5.8,1846738,1846738
Malcolm Brogdon,PG,30,BOS,57,0,25.6,5.2,10.6,0.486,2.0,4.4,0.455,3.2,6.2,0.508,0.581,2.3,2.6,0.878,0.6,3.6,4.2,3.7,0.6,0.3,1.6,1.6,14.6,22600000,22600000
Dillon Brooks,SF,27,MEM,60,60,30.4,5.4,13.9,0.387,1.8,5.9,0.313,3.5,8.0,0.442,0.453,1.7,2.2,0.791,0.6,2.7,3.3,2.5,0.9,0.2,1.4,3.3,14.3,11400000,11400000
Bruce Brown,SG,26,DEN,67,28,28.3,4.3,9.1,0.479,1.3,3.4,0.371,3.1,5.6,0.545,0.549,1.1,1.5,0.74,0.7,3.3,4.0,3.4,1.0,0.6,1.6,2.4,11.1,6479000,6479000
Greg Brown,PF,21,POR,16,0,5.8,0.7,1.8,0.393,0.1,0.4,0.143,0.6,1.3,0.476,0.411,0.3,0.8,0.417,0.1,1.1,1.2,0.2,0.3,0.3,0.4,0.8,1.8,1563518,1563518
Jaylen Brown,SF,26,BOS,56,56,36.1,9.9,20.3,0.486,2.4,7.3,0.331,7.5,13.0,0.573,0.546,4.2,5.4,0.774,1.2,5.7,6.9,3.4,1.2,0.4,3.0,2.7,26.3,28741071,28741071
