Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,2022/23 Salary,Salary
Doug McDermott,SF,31,SAS,57,0,20.6,3.7,8.0,0.463,1.9,4.5,0.417,1.8,3.5,0.52,0.579,0.7,0.9,0.741,0.3,1.8,2.2,1.5,0.2,0.1,0.9,1.8,10.0,13750000,13750000
JaVale McGee,C,35,DAL,36,7,8.1,1.8,2.9,0.604,0.0,0.1,0.25,1.8,2.8,0.618,0.608,0.5,0.9,0.563,0.8,1.8,2.6,0.3,0.1,0.6,0.9,1.2,4.1,5461219,5461219
Bryce McGowens,SG,20,CHO,34,1,14.7,1.2,3.4,0.36,0.4,1.3,0.326,0.8,2.1,0.38,0.421,0.8,1.1,0.75,0.4,1.4,1.8,0.8,0.2,0.1,0.6,0.8,3.6,1461055,1461055
Rodney McGruder,SG,31,DET,27,7,13.1,1.3,3.3,0.398,0.9,2.3,0.393,0.4,1.0,0.407,0.534,0.5,0.6,0.765,0.4,1.1,1.6,0.7,0.3,0.0,0.3,0.9,4.0,2298385,2298385
Jordan McLaughlin,PG,26,MIN,31,0,15.3,1.4,3.4,0.419,0.5,1.8,0.246,1.0,1.5,0.625,0.486,0.3,0.3,0.9,0.5,1.1,1.5,2.9,0.8,0.1,0.7,0.5,3.6,2160000,2160000
De'Anthony Melton,PG,24,PHI,64,51,28.0,3.6,8.5,0.429,2.1,5.3,0.404,1.5,3.2,0.471,0.554,0.9,1.1,0.8,0.9,3.3,4.1,2.7,1.6,0.5,1.3,2.5,10.3,8250000,8250000
Sam Merrill,SG,26,CLE,1,0,4.0,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,255522,255522
Chimezie Metu,C,25,SAC,53,0,11.1,2.1,3.4,0.611,0.2,0.6,0.25,1.9,2.8,0.689,0.633,0.7,0.9,0.76,0.8,2.4,3.1,0.7,0.4,0.3,0.5,1.3,5.0,1910860,1910860
Khris Middleton,SF,31,MIL,24,10,23.0,4.9,11.7,0.416,1.4,4.6,0.309,3.5,7.1,0.485,0.477,2.7,3.0,0.889,0.9,3.3,4.2,4.5,0.8,0.1,2.2,2.3,13.8,37984276,37984276
Shake Milton,SG,26,PHI,63,9,20.2,3.2,6.6,0.492,0.8,2.0,0.39,2.5,4.6,0.534,0.55,1.3,1.5,0.832,0.5,2.1,2.5,2.8,0.3,0.1,1.2,1.5,8.5,1997718,1997718
Josh Minott,SF,20,MIN,12,0,6.2,1.2,2.3,0.5,0.1,0.4,0.2,1.1,1.9,0.565,0.518,0.5,0.5,1.0,0.4,1.4,1.8,0.3,0.3,0.5,0.0,0.6,2.9,1017781,1017781
Davion Mitchell,PG,24,SAC,65,7,18.1,2.3,5.0,0.468,0.8,2.4,0.34,1.5,2.6,0.586,0.549,0.3,0.4,0.786,0.2,1.1,1.3,2.2,0.5,0.2,0.8,1.4,5.8,4833600,4833600
Donovan Mitchell,SG,26,CLE,59,59,35.6,9.7,20.3,0.478,3.6,9.4,0.383,6.1,10.9,0.561,0.567,4.5,5.2,0.875,0.9,3.2,4.1,4.7,1.5,0.4,2.7,2.5,27.6,30913750,30913750
Evan Mobley,PF,21,CLE,68,68,34.2,6.5,11.9,0.548,0.3,1.4,0.213,6.2,10.5,0.592,0.56,2.6,3.9,0.682,2.3,6.6,8.9,2.7,0.8,1.4,2.0,2.9,16.0,8478720,8478720
Isaiah Mobley,PF,23,CLE,9,0,2.9,0.4,0.9,0.5,0.1,0.2,0.5,0.3,0.7,0.5,0.563,0.0,0.0,,0.1,1.1,1.2,0.0,0.1,0.0,0.0,0.2,1.0,508891,508891
Chima Moneke,SF,27,SAC,2,0,4.0,0.5,1.0,0.5,0.0,0.0,,0.5,1.0,0.5,0.5,0.0,1.0,0.0,1.0,0.0,1.0,0.5,0.0,0.0,1.0,1.0,1.0,500000,500000
Malik Monk,SG,24,SAC,63,0,22.5,4.7,10.4,0.455,1.8,5.0,0.349,3.0,5.3,0.555,0.54,2.5,2.8,0.898,0.5,2.1,2.6,3.9,0.6,0.2,2.0,1.6,13.7,9472219,9472219
Moses Moody,SG,20,GSW,51,3,13.2,1.6,3.6,0.435,0.8,2.3,0.333,0.8,1.4,0.609,0.54,0.6,0.9,0.727,0.5,1.2,1.6,0.8,0.3,0.1,0.6,0.8,4.6,3740160,3740160
Wendell Moore,SG,21,MIN,25,2,5.8,0.6,1.6,0.41,0.1,0.7,0.118,0.6,0.9,0.636,0.436,0.2,0.2,0.8,0.1,0.6,0.6,0.7,0.3,0.2,0.3,0.5,1.5,2306520,2306520
Ja Morant,PG,23,MEM,53,53,32.5,9.6,20.6,0.463,1.6,5.1,0.316,8.0,15.6,0.512,0.502,6.4,8.5,0.744,1.1,4.8,6.0,8.2,1.1,0.2,3.4,1.7,27.1,12119440,12119440
Marcus Morris,PF,33,LAC,59,59,28.4,4.4,10.2,0.43,1.8,4.9,0.375,2.5,5.2,0.482,0.521,1.1,1.4,0.786,0.4,3.6,4.1,1.8,0.6,0.4,0.9,2.1,11.7,16372093,16372093
Markieff Morris,PF,33,TOT,31,1,9.8,1.1,2.8,0.402,0.7,1.7,0.407,0.4,1.1,0.394,0.529,0.3,0.3,1.0,0.4,1.6,2.0,0.8,0.3,0.2,0.5,1.2,3.3,2905851,2905851
Monte Morris,PG,27,WAS,54,53,27.8,3.9,8.2,0.481,1.3,3.3,0.401,2.6,4.9,0.534,0.561,1.0,1.3,0.812,0.4,3.0,3.4,5.2,0.7,0.2,1.0,1.4,10.2,9125000,9125000
Trey Murphy,SF,22,NOP,65,51,29.7,4.6,9.5,0.478,2.3,5.8,0.397,2.2,3.7,0.606,0.599,1.9,2.1,0.91,0.8,2.9,3.7,1.4,1.0,0.5,0.8,2.0,13.3,3206520,3206520
Dejounte Murray,SG,26,ATL,63,63,36.4,8.4,18.0,0.465,2.0,5.5,0.358,6.4,12.5,0.512,0.52,2.1,2.4,0.844,0.7,4.7,5.4,6.0,1.5,0.3,2.2,1.4,20.8,16571120,16571120
Jamal Murray,PG,25,DEN,54,54,32.7,7.3,16.3,0.45,2.6,6.6,0.387,4.8,9.6,0.493,0.528,2.9,3.5,0.825,0.8,3.2,4.0,5.9,1.1,0.2,2.1,1.4,20.1,31650600,31650600
Keegan Murray,SF,22,SAC,64,62,29.5,4.2,9.5,0.446,2.4,6.0,0.406,1.8,3.5,0.513,0.573,0.8,1.1,0.794,1.1,3.4,4.5,1.2,0.8,0.5,0.8,1.9,11.7,8008440,8008440
Mike Muscala,C,31,TOT,52,7,14.9,2.1,4.8,0.435,1.3,3.4,0.384,0.8,1.4,0.563,0.573,0.6,0.8,0.78,0.5,2.6,3.1,0.8,0.3,0.4,0.4,1.6,6.1,3500000,3500000
Sviatoslav Mykhailiuk,SF,25,TOT,20,0,6.7,1.0,2.1,0.452,0.6,1.2,0.522,0.4,1.0,0.368,0.595,0.3,0.5,0.5,0.1,0.6,0.7,0.4,0.1,0.0,0.3,0.3,2.8,3846895,3846895
Larry Nance Jr,PF,30,NOP,51,1,22.0,3.2,5.2,0.617,0.3,0.7,0.342,2.9,4.4,0.664,0.642,0.9,1.4,0.676,1.8,4.1,5.8,1.9,0.9,0.7,0.7,2.1,7.6,9672727,9672727
Andrew Nembhard,SG,23,IND,61,49,26.8,3.2,7.6,0.42,1.2,3.5,0.335,2.0,4.1,0.494,0.498,0.6,0.7,0.833,0.5,2.2,2.7,4.0,1.0,0.2,1.6,2.4,8.1,2244111,2244111
Aaron Nesmith,SF,23,IND,59,47,24.5,3.3,7.9,0.414,1.4,4.2,0.344,1.8,3.7,0.493,0.505,1.6,1.8,0.853,0.8,2.9,3.7,1.2,0.7,0.4,0.9,3.3,9.6,3804360,3804360
Raul Neto,PG,30,CLE,42,1,10.2,1.1,2.1,0.511,0.3,0.9,0.324,0.8,1.3,0.642,0.578,0.5,0.6,0.92,0.2,0.8,1.0,1.4,0.4,0.1,0.3,0.9,3.0,2463490,2463490
Georges Niang,PF,29,PHI,64,0,19.3,2.9,6.5,0.449,2.1,5.0,0.412,0.9,1.5,0.573,0.607,0.5,0.5,0.857,0.3,2.1,2.4,1.1,0.4,0.2,0.7,1.9,8.4,3465000,3465000
Daishen Nix,PG,20,HOU,47,7,16.7,1.6,4.3,0.358,0.8,2.5,0.305,0.8,1.8,0.43,0.446,0.5,0.7,0.676,0.3,1.5,1.8,2.6,0.6,0.1,1.5,1.1,4.4,1563518,1563518
Zeke Nnaji,PF,22,DEN,44,5,13.3,2.0,3.5,0.572,0.3,1.0,0.289,1.7,2.4,0.692,0.615,0.8,1.2,0.667,1.3,1.0,2.3,0.3,0.3,0.4,0.5,1.8,5.1,2617800,2617800
Nerlens Noel,C,28,TOT,17,4,11.5,0.8,2.1,0.361,0.1,0.1,0.5,0.7,2.0,0.353,0.375,0.5,0.7,0.667,0.6,2.1,2.7,0.6,0.9,0.6,0.8,1.9,2.1,9391069,9391069
Jaylen Nowell,SG,23,MIN,62,2,19.5,4.3,9.7,0.446,1.1,3.6,0.293,3.2,6.0,0.537,0.501,1.2,1.6,0.784,0.5,2.1,2.6,2.0,0.6,0.1,1.0,1.5,10.9,1930681,1930681
Frank Ntilikina,PG,24,DAL,41,3,11.8,0.8,2.4,0.34,0.3,1.3,0.208,0.6,1.1,0.489,0.395,0.4,0.6,0.667,0.1,1.1,1.3,1.1,0.3,0.1,0.6,1.3,2.3,2036318,2036318
Kendrick Nunn,SG-PG,27,TOT,58,2,13.8,2.6,6.1,0.419,1.0,3.0,0.337,1.6,3.1,0.497,0.501,0.4,0.5,0.839,0.2,1.3,1.5,1.2,0.3,0.1,0.9,0.9,6.6,5250000,5250000
Jusuf Nurkic,C,28,POR,48,48,26.7,5.0,9.6,0.517,0.8,2.2,0.364,4.2,7.4,0.563,0.56,2.5,3.7,0.663,2.2,7.0,9.1,2.9,0.9,0.8,2.4,3.6,13.2,15625000,15625000
Jordan Nwora,SF,24,TOT,48,5,16.6,2.5,6.0,0.417,1.1,3.0,0.385,1.4,3.0,0.448,0.512,1.0,1.2,0.807,0.8,2.4,3.2,1.2,0.4,0.2,0.9,1.0,7.1,3000000,3000000
Royce O'Neale,SF,29,BRK,64,52,32.5,3.1,7.9,0.387,2.2,5.5,0.395,0.9,2.4,0.368,0.524,0.7,0.9,0.737,0.8,4.3,5.0,3.7,0.9,0.7,1.5,3.1,9.0,9200000,9200000
Chuma Okeke,SF,24,ORL,22,7,18.8,1.5,4.2,0.366,0.9,3.0,0.308,0.6,1.3,0.5,0.473,0.7,1.0,0.762,1.0,2.6,3.5,1.2,0.5,0.4,0.5,1.6,4.7,3433320,3433320
Josh Okogie,SG,24,PHO,57,11,16.8,2.2,5.4,0.41,0.9,2.5,0.338,1.4,2.9,0.473,0.489,1.7,2.3,0.727,1.5,1.8,3.3,1.2,0.8,0.4,0.9,1.5,7.0,1968175,1968175
Onyeka Okongwu,C,22,ATL,66,17,23.5,3.8,6.0,0.627,0.0,0.1,0.286,3.8,5.9,0.633,0.629,1.6,2.2,0.738,2.6,4.6,7.1,1.0,0.7,1.2,1.0,3.3,9.2,6395160,6395160
Isaac Okoro,SF,22,CLE,70,40,21.5,2.3,4.7,0.495,0.8,2.3,0.35,1.5,2.4,0.632,0.58,1.1,1.4,0.758,0.7,1.8,2.5,1.2,0.7,0.4,0.6,2.0,6.6,7040880,7040880
KZ Okpala,PF,23,SAC,35,3,7.1,0.5,1.1,0.421,0.2,0.6,0.333,0.3,0.5,0.529,0.513,0.2,0.2,0.875,0.2,0.8,1.0,0.4,0.2,0.2,0.2,1.1,1.3,1902133,1902133
Victor Oladipo,SG,30,MIA,36,1,27.2,3.7,9.5,0.386,1.5,4.8,0.306,2.2,4.7,0.467,0.463,1.5,2.0,0.761,0.4,2.9,3.3,3.5,1.4,0.3,2.0,2.4,10.3,8750000,8750000
Kelly Olynyk,C,31,UTA,56,56,28.3,4.0,8.0,0.499,1.4,3.5,0.4,2.6,4.5,0.575,0.586,2.8,3.3,0.839,1.2,4.3,5.6,3.3,0.9,0.6,2.3,3.5,12.1,12804878,12804878
Eugene Omoruyi,SF,25,TOT,28,2,13.0,2.1,4.4,0.468,0.4,1.4,0.282,1.7,3.0,0.553,0.512,1.0,1.4,0.692,1.1,1.3,2.3,0.5,0.6,0.0,0.7,2.1,5.5,649538,649538
Cedi Osman,SF,27,CLE,65,0,20.4,3.1,6.9,0.449,1.4,4.0,0.35,1.7,3.0,0.58,0.549,0.9,1.4,0.667,0.3,1.9,2.2,1.5,0.5,0.1,0.7,1.5,8.5,7426088,7426088
Kelly Oubre,SF,27,CHO,44,36,32.7,7.4,17.3,0.427,2.4,7.3,0.326,5.0,10.1,0.5,0.495,3.2,4.2,0.77,1.5,3.9,5.3,1.1,1.4,0.4,1.3,3.0,20.4,12600000,12600000
Chris Paul,PG,37,PHO,46,46,32.1,4.8,11.0,0.431,1.6,4.4,0.373,3.1,6.7,0.469,0.505,2.4,3.0,0.818,0.3,3.9,4.3,9.1,1.6,0.4,2.0,2.2,13.6,28400000,28400000
Cameron Payne,PG,28,PHO,35,14,21.9,4.2,10.1,0.411,1.6,4.3,0.362,2.6,5.8,0.448,0.489,1.1,1.5,0.736,0.3,2.0,2.3,4.8,0.8,0.2,2.0,2.0,11.0,6000000,6000000
Gary Payton II,PG,30,POR,15,1,17.0,1.6,2.7,0.585,0.6,1.1,0.529,1.0,1.6,0.625,0.695,0.3,0.3,1.0,0.7,1.9,2.6,1.5,1.1,0.1,0.8,1.9,4.1,8300000,8300000
Theo Pinson,SG,27,DAL,35,0,6.9,0.6,1.7,0.333,0.4,1.2,0.349,0.1,0.5,0.294,0.458,0.3,0.3,0.818,0.2,0.9,1.1,0.8,0.1,0.0,0.3,0.7,1.8,1968175,1968175
Scottie Pippen Jr,PG,22,LAL,6,0,5.3,0.7,2.0,0.333,0.2,0.5,0.333,0.5,1.5,0.333,0.375,0.8,1.5,0.556,0.3,0.3,0.7,0.3,0.3,0.2,0.3,0.5,2.3,508891,508891
Mason Plumlee,C,32,TOT,66,60,27.5,4.5,6.6,0.676,0.0,0.0,,4.5,6.6,0.676,0.676,2.8,4.5,0.63,3.1,6.4,9.5,3.4,0.6,0.6,1.6,2.8,11.7,9080417,9080417
Jakob Poeltl,C,27,TOT,58,57,26.6,5.5,8.6,0.633,0.0,0.0,0.0,5.5,8.6,0.634,0.633,1.7,2.9,0.594,3.3,5.8,9.1,2.9,1.0,1.2,1.9,2.7,12.7,9398148,9398148
Aleksej Pokusevski,PF,21,OKC,31,25,21.8,3.5,7.8,0.44,1.2,3.3,0.376,2.2,4.6,0.486,0.519,0.7,1.1,0.636,1.5,3.6,5.1,2.0,0.6,1.3,1.3,1.8,8.8,3261480,3261480
Jordan Poole,PG,23,GSW,68,42,30.7,6.8,16.0,0.426,2.6,7.9,0.327,4.2,8.1,0.525,0.507,4.3,5.0,0.872,0.4,2.4,2.8,4.6,0.8,0.2,3.2,2.6,20.6,3901399,3901399
Kevin Porter,PG,22,HOU,45,45,33.5,6.4,14.9,0.432,2.2,6.2,0.348,4.3,8.7,0.492,0.504,3.4,4.5,0.766,1.4,4.1,5.4,5.7,1.3,0.4,3.4,2.7,18.5,3217631,3217631
Michael Porter,SF,24,DEN,51,51,28.9,6.3,12.8,0.491,2.9,7.1,0.412,3.4,5.7,0.589,0.605,1.6,1.9,0.808,1.0,4.4,5.3,1.0,0.6,0.5,1.1,2.1,17.1,30913750,30913750
Otto Porter,SF,29,TOR,8,2,18.3,1.9,3.8,0.5,0.8,2.1,0.353,1.1,1.6,0.692,0.6,1.0,1.0,1.0,0.8,1.6,2.4,1.0,1.4,0.0,0.5,0.9,5.5,6000000,6000000
Bobby Portis,PF,27,MIL,56,18,26.1,5.8,11.5,0.502,1.2,3.4,0.349,4.6,8.0,0.567,0.554,1.3,1.6,0.828,2.4,7.4,9.8,1.7,0.4,0.2,1.3,1.7,14.0,10843350,10843350
Kristaps Porzingis,C,27,WAS,58,58,32.8,7.6,15.5,0.492,2.1,5.5,0.384,5.5,10.0,0.551,0.56,5.6,6.6,0.842,1.9,6.6,8.5,2.6,0.8,1.5,2.2,3.2,22.9,33833400,33833400
Micah Potter,PF,24,UTA,3,0,4.7,0.7,0.7,1.0,0.0,0.0,,0.7,0.7,1.0,1.0,0.0,0.0,,0.3,0.7,1.0,0.7,0.0,0.0,0.0,0.7,1.3,508891,508891
Dwight Powell,C,31,DAL,63,51,19.9,2.6,3.6,0.723,0.0,0.0,0.0,2.6,3.5,0.733,0.723,1.6,2.4,0.685,2.0,2.3,4.3,0.9,0.7,0.4,0.9,2.8,6.8,11080125,11080125
Norman Powell,SG,29,LAC,54,7,25.8,5.5,11.7,0.475,2.0,4.9,0.41,3.5,6.7,0.522,0.561,3.6,4.4,0.803,0.4,2.6,2.9,1.8,0.8,0.3,1.6,2.0,16.6,16758621,16758621
Jason Preston,PG,23,LAC,13,0,9.4,1.4,3.2,0.439,0.4,1.4,0.278,1.0,1.8,0.565,0.5,0.0,0.2,0.0,0.2,1.5,1.7,2.1,0.2,0.0,0.8,0.5,3.2,1563518,1563518
Josh Primo,SG,20,SAS,4,0,23.3,2.3,6.5,0.346,0.8,3.0,0.25,1.5,3.5,0.429,0.404,1.8,2.3,0.778,0.5,2.8,3.3,4.5,0.3,0.5,2.8,2.0,7.0,4144320,4144320
Taurean Prince,SF,28,MIN,42,2,21.4,3.2,6.7,0.479,1.3,3.4,0.385,1.9,3.3,0.577,0.577,1.0,1.2,0.843,0.3,2.1,2.4,1.6,0.5,0.4,1.3,2.3,8.7,7295000,7295000
Payton Pritchard,PG,25,BOS,45,2,12.5,1.8,4.6,0.39,0.9,2.8,0.331,0.8,1.7,0.487,0.493,0.2,0.3,0.733,0.5,1.0,1.5,1.0,0.3,0.0,0.7,0.8,4.7,2239200,2239200
Trevelin Queen,SG,25,IND,7,0,10.0,1.0,4.1,0.241,0.3,2.1,0.133,0.7,2.0,0.357,0.276,0.7,0.7,1.0,1.1,1.3,2.4,0.9,0.3,0.7,1.0,0.6,3.0,838891,838891
Neemias Queta,C,23,SAC,4,0,6.3,1.5,2.0,0.75,0.0,0.0,,1.5,2.0,0.75,0.75,0.0,0.5,0.0,1.0,1.3,2.3,0.3,0.0,0.3,0.3,1.8,3.0,508891,508891
Immanuel Quickley,PG,23,NYK,69,14,28.4,4.8,10.7,0.443,1.9,5.2,0.359,2.9,5.5,0.522,0.53,2.1,2.6,0.824,0.7,3.4,4.1,3.2,0.9,0.2,1.1,2.1,13.5,2316240,2316240
Julius Randle,PF,28,NYK,70,70,35.9,8.6,18.7,0.459,2.9,8.4,0.346,5.7,10.3,0.551,0.536,5.2,6.9,0.753,2.0,8.3,10.3,4.1,0.7,0.3,2.8,3.1,25.3,23760000,23760000
Austin Reaves,SG,24,LAL,50,12,27.6,3.6,7.0,0.51,1.3,3.3,0.387,2.3,3.8,0.617,0.6,2.8,3.2,0.87,0.5,2.3,2.8,2.7,0.5,0.4,1.4,1.7,11.2,1563518,1563518
Cam Reddish,SF,23,TOT,33,19,25.3,3.7,8.2,0.457,1.3,3.9,0.336,2.4,4.3,0.567,0.537,1.7,2.0,0.862,0.5,1.8,2.2,1.7,1.0,0.3,1.2,1.8,10.5,5954454,5954454
Davon Reed,SG,27,TOT,39,1,8.6,0.7,2.1,0.325,0.4,1.2,0.37,0.3,0.9,0.27,0.428,0.4,0.6,0.667,0.3,1.2,1.5,0.5,0.4,0.1,0.5,1.0,2.2,1902133,1902133
Paul Reed,C,23,PHI,54,0,10.1,1.5,2.6,0.573,0.0,0.1,0.0,1.5,2.6,0.59,0.573,0.4,0.5,0.759,1.4,2.0,3.4,0.3,0.6,0.7,0.6,1.9,3.4,1782621,1782621
Naz Reid,C,23,MIN,60,11,18.0,4.2,8.0,0.53,1.1,3.1,0.34,3.2,4.8,0.654,0.597,1.1,1.7,0.653,1.2,3.8,4.9,1.1,0.6,0.8,1.3,2.6,10.6,1930681,1930681
Jared Rhoden,SG,23,DET,4,0,8.3,1.0,2.3,0.444,0.0,0.5,0.0,1.0,1.8,0.571,0.444,0.0,0.0,,1.3,0.8,2.0,0.0,0.0,0.0,0.0,1.0,2.0,307089,307089
Nick Richards,C,25,CHO,55,2,18.1,2.9,4.8,0.618,0.0,0.0,,2.9,4.8,0.618,0.618,2.0,2.7,0.752,2.3,3.6,5.9,0.5,0.2,1.1,0.9,2.3,7.9,1782621,1782621
Josh Richardson,SG,29,TOT,51,10,24.3,4.1,9.4,0.433,1.7,4.9,0.355,2.3,4.5,0.517,0.525,1.3,1.5,0.861,0.7,2.1,2.8,3.0,1.2,0.4,1.4,1.9,11.2,12196094,12196094
Austin Rivers,SG,30,MIN,50,10,20.1,1.8,4.1,0.44,0.9,2.4,0.352,1.0,1.7,0.565,0.543,0.6,0.8,0.769,0.1,1.5,1.6,1.5,0.6,0.1,0.5,1.6,5.1,2905851,2905851
Duncan Robinson,SF,28,MIA,33,0,17.3,2.2,5.9,0.371,1.6,4.8,0.335,0.6,1.1,0.528,0.508,0.7,0.8,0.92,0.2,1.6,1.8,1.2,0.4,0.0,0.6,1.9,6.7,16902000,16902000
Mitchell Robinson,C,24,NYK,48,47,27.4,3.3,4.8,0.69,0.0,0.0,,3.3,4.8,0.69,0.69,1.0,2.0,0.49,4.3,4.9,9.2,0.8,0.9,1.6,0.6,2.9,7.6,17045454,17045454
Orlando Robinson,C,22,MIA,29,1,13.7,1.6,3.0,0.535,0.0,0.2,0.0,1.6,2.8,0.568,0.535,0.7,1.0,0.724,1.5,2.6,4.1,0.7,0.4,0.4,0.5,1.8,3.9,386055,386055
Jeremiah Robinson-Earl,PF,22,OKC,34,19,20.2,2.8,6.1,0.455,0.9,2.8,0.326,1.9,3.4,0.561,0.529,0.9,1.1,0.816,1.9,2.7,4.5,1.0,0.6,0.3,0.5,1.7,7.4,2000000,2000000
Isaiah Roby,PF,24,SAS,42,2,11.3,1.6,3.7,0.432,0.4,1.4,0.3,1.2,2.3,0.516,0.49,0.5,1.0,0.488,0.5,2.0,2.5,0.9,0.4,0.2,0.7,1.3,4.1,1930681,1930681
David Roddy,PF,21,MEM,54,2,16.7,2.5,5.6,0.438,0.8,2.8,0.294,1.6,2.8,0.583,0.512,0.6,1.0,0.604,0.6,2.0,2.6,0.6,0.5,0.3,0.9,1.4,6.4,2588640,2588640
Ryan Rollins,PG,20,GSW,12,0,5.2,0.6,1.7,0.35,0.3,0.8,0.333,0.3,0.9,0.364,0.425,0.5,0.5,1.0,0.3,0.8,1.0,0.5,0.1,0.1,1.3,0.8,1.9,1017781,1017781
Derrick Rose,PG,34,NYK,27,0,12.5,2.3,5.9,0.384,0.7,2.3,0.302,1.6,3.6,0.438,0.443,0.4,0.4,0.917,0.3,1.2,1.5,1.7,0.3,0.2,0.8,0.7,5.6,14520730,14520730
Terrence Ross,SG,31,TOT,48,9,22.3,3.3,7.4,0.442,1.6,4.1,0.384,1.7,3.3,0.516,0.549,0.4,0.5,0.75,0.3,1.8,2.1,1.3,0.6,0.2,0.8,1.4,8.5,11500000,11500000
Terry Rozier,SG,28,CHO,59,59,35.7,7.9,19.1,0.415,2.7,8.1,0.331,5.3,11.0,0.478,0.485,2.9,3.6,0.803,0.9,3.4,4.2,5.0,1.2,0.3,2.2,1.9,21.4,21486316,21486316
Ricky Rubio,PG,32,CLE,22,0,16.8,1.8,5.3,0.342,0.8,2.8,0.29,1.0,2.5,0.4,0.419,0.9,1.1,0.76,0.3,2.0,2.3,3.4,1.0,0.2,1.0,1.4,5.3,5853659,5853659
D'Angelo Russell,PG,26,TOT,60,60,32.4,6.3,13.4,0.471,2.8,6.9,0.398,3.6,6.5,0.55,0.574,2.6,3.1,0.853,0.6,2.6,3.2,6.2,1.0,0.4,2.7,2.1,18.0,31377750,31377750
Matt Ryan,SF,25,TOT,32,0,9.5,1.3,3.3,0.374,1.0,2.6,0.386,0.3,0.8,0.333,0.523,0.3,0.4,0.833,0.1,0.7,0.8,0.5,0.2,0.0,0.2,0.8,3.8,806097,806097
Domantas Sabonis,C,26,SAC,64,64,34.5,7.2,11.7,0.614,0.4,1.1,0.366,6.8,10.6,0.64,0.631,4.2,5.5,0.763,3.0,9.3,12.3,7.0,0.8,0.5,3.0,3.7,19.0,18500000,18500000
Dario Saric,PF,28,TOT,49,12,14.5,2.3,5.0,0.463,0.8,2.1,0.392,1.5,2.9,0.514,0.545,1.1,1.3,0.833,1.0,2.9,3.9,1.4,0.3,0.1,1.0,1.8,6.6,9240000,9240000
Olivier Sarr,C,23,OKC,2,0,11.0,1.5,3.5,0.429,0.0,1.5,0.0,1.5,2.0,0.75,0.429,0.5,0.5,1.0,1.0,1.5,2.5,0.0,0.0,0.5,0.0,1.0,3.5,90665,90665
Jordan Schakel,SF,24,WAS,2,0,3.0,0.5,1.0,0.5,0.5,0.5,1.0,0.0,0.5,0.0,0.75,0.0,0.0,,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,1.5,96514,96514
Admiral Schofield,PF,25,ORL,31,0,11.9,1.5,3.1,0.484,0.6,1.8,0.351,0.8,1.2,0.684,0.589,0.5,0.6,0.895,0.6,1.1,1.7,0.8,0.2,0.1,0.2,1.7,4.2,877940,877940
Dennis Schroeder,PG,29,LAL,54,47,31.0,4.2,10.1,0.418,1.2,3.5,0.335,3.0,6.6,0.463,0.477,3.2,3.7,0.874,0.2,2.3,2.5,4.7,0.8,0.1,1.7,2.3,12.8,2641682,2641682
Dereon Seabron,SG,22,NOP,5,0,2.4,0.4,1.0,0.4,0.0,0.0,,0.4,1.0,0.4,0.4,0.0,0.0,,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.8,508891,508891
Alperen Sengun,C,20,HOU,62,59,28.3,5.8,10.5,0.555,0.2,0.7,0.318,5.6,9.8,0.573,0.566,2.9,3.9,0.734,3.2,5.5,8.7,3.8,0.9,0.9,2.5,3.3,14.7,3375360,3375360
Collin Sexton,SG,24,UTA,47,15,24.0,4.9,9.7,0.507,1.0,2.5,0.41,3.9,7.2,0.54,0.559,3.4,4.2,0.822,0.8,1.4,2.2,2.9,0.6,0.1,1.8,2.3,14.3,16500000,16500000
Landry Shamet,SG,25,PHO,30,7,21.4,3.1,8.1,0.38,2.0,5.4,0.377,1.0,2.7,0.388,0.506,1.4,1.5,0.911,0.3,1.4,1.7,2.2,0.6,0.2,1.0,1.5,9.5,9500000,9500000
Day'Ron Sharpe,C,21,BRK,36,2,11.2,1.8,3.4,0.516,0.1,0.3,0.556,1.6,3.1,0.513,0.537,0.5,0.8,0.607,1.7,2.1,3.8,0.8,0.2,0.6,1.0,2.0,4.1,2109480,2109480
Shaedon Sharpe,SG,19,POR,67,5,20.5,3.1,6.6,0.474,1.0,2.9,0.349,2.1,3.8,0.569,0.549,0.6,0.9,0.667,0.8,1.8,2.6,0.7,0.4,0.3,0.8,1.6,7.9,6012960,6012960
Pascal Siakam,C,28,TOR,58,58,37.5,8.8,18.7,0.473,1.4,4.1,0.343,7.4,14.6,0.509,0.511,5.4,6.9,0.772,1.8,5.7,7.6,5.9,0.9,0.6,2.5,3.3,24.4,35448672,35448672
Chris Silva,PF,26,DAL,1,0,3.0,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,211045,211045
